Date,VesselID,Port,Region,VesselType,CargoVolume_Tons,PredictedDelay_Min,ActualDelay_Min,DwellTime_Hours,FuelConsumption_Tons,OnTime
2025-01-01,V1001,Cochin,South,Container,2396.7,27.0,39.1,14.8,46.9,False
2025-01-01,V1002,Mumbai,West,Tanker,4916.5,0.0,11.4,8.9,95.3,True
2025-01-01,V1003,Chennai,South,Bulk Carrier,2329.7,2.4,0.0,21.6,55.6,True
2025-01-01,V1004,Chennai,South,Container,2369.9,23.1,16.9,23.7,59.9,True
2025-01-01,V1005,Cochin,South,General Cargo,2463.1,0.0,0.0,18.0,46.5,True
2025-01-01,V1006,Mumbai,West,General Cargo,10777.1,0.0,13.1,25.2,318.4,True
2025-01-02,V1007,Kandla,West,Container,4821.0,0.0,0.0,14.8,92.6,True
2025-01-02,V1008,Mumbai,West,Container,4408.3,0.0,1.6,23.3,117.1,True
2025-01-02,V1009,Chennai,South,Bulk Carrier,1323.5,14.8,7.3,24.6,26.0,True
2025-01-02,V1010,Visakhapatnam,East,General Cargo,4957.9,49.5,38.7,19.8,83.3,False
2025-01-02,V1011,Mumbai,West,General Cargo,6606.3,44.3,53.9,20.0,150.9,False
2025-01-02,V1012,Chennai,South,General Cargo,1409.1,10.0,9.3,24.3,40.3,True
2025-01-02,V1013,Kandla,West,Bulk Carrier,2118.1,6.6,0.0,22.5,41.0,True
2025-01-03,V1014,Kandla,West,General Cargo,6017.8,13.6,9.2,16.2,90.9,True
2025-01-03,V1015,Kolkata,East,Container,2664.2,0.0,4.1,16.3,77.6,True
2025-01-03,V1016,Chennai,South,Ro-Ro,1927.0,25.4,1.1,26.4,56.7,True
2025-01-03,V1017,Kolkata,East,Tanker,1775.3,19.5,0.0,12.0,42.9,True
2025-01-03,V1018,Chennai,South,Bulk Carrier,4193.7,3.5,3.6,16.4,72.0,True
2025-01-03,V1019,Kolkata,East,Container,4806.8,28.5,28.4,11.1,89.2,True
2025-01-03,V1020,Mumbai,West,Ro-Ro,6362.4,0.0,16.6,26.4,104.1,True
2025-01-03,V1021,Mumbai,West,Tanker,7201.4,7.7,18.7,23.2,163.3,True
2025-01-03,V1022,Kolkata,East,General Cargo,4313.3,36.2,21.6,12.5,125.3,True
2025-01-03,V1023,Kolkata,East,Container,2722.6,10.3,0.0,21.3,74.2,True
2025-01-03,V1024,Cochin,South,Ro-Ro,2771.8,54.1,84.6,16.8,79.0,False
2025-01-04,V1025,Visakhapatnam,East,Container,7672.8,27.3,18.8,20.8,140.9,True
2025-01-04,V1026,Kandla,West,Container,5726.5,0.0,9.4,13.1,158.8,True
2025-01-04,V1027,Visakhapatnam,East,Tanker,2894.9,40.6,63.3,13.5,54.0,False
2025-01-04,V1028,Cochin,South,General Cargo,3800.2,18.1,22.2,23.0,85.7,True
2025-01-04,V1029,Kolkata,East,General Cargo,4500.0,13.4,46.0,12.9,69.1,False
2025-01-04,V1030,Chennai,South,Container,2929.7,0.0,5.8,22.3,84.7,True
2025-01-04,V1031,Mumbai,West,Bulk Carrier,2045.2,31.8,31.0,8.9,40.4,False
2025-01-04,V1032,Kolkata,East,Container,3607.5,25.4,10.4,20.3,59.4,True
2025-01-05,V1033,Chennai,South,Container,4269.6,32.9,39.0,41.1,105.7,False
2025-01-05,V1034,Kandla,West,Tanker,2785.9,43.9,51.7,22.6,45.7,False
2025-01-05,V1035,Kandla,West,Tanker,9112.2,7.9,8.8,6.8,217.4,True
2025-01-05,V1036,Chennai,South,Tanker,3412.0,8.2,21.3,11.5,62.2,True
2025-01-05,V1037,Kolkata,East,Bulk Carrier,3379.2,1.7,4.3,14.1,83.0,True
